exp_dt,K,C,T,S0,r,d,delta_raw,iv
2027-06-17,5.0,167.1,1.7671232876712328,169.84,0.045,0.0,1.0,2.0422
2027-06-17,10.0,162.14999999999998,1.7671232876712328,169.84,0.045,0.0,1.0,0.0
2027-06-17,15.0,157.5,1.7671232876712328,169.84,0.045,0.0,1.0,0.0
2027-06-17,20.0,152.89999999999998,1.7671232876712328,169.84,0.045,0.0,1.0,0.0
2027-06-17,25.0,148.3,1.7671232876712328,169.84,0.045,0.0,1.0,0.0
2027-06-17,30.0,143.7,1.7671232876712328,169.84,0.045,0.0,1.0,0.0
2027-06-17,35.0,139.425,1.7671232876712328,169.84,0.045,0.0,1.0,0.5308
2027-06-17,40.0,133.375,1.7671232876712328,169.84,0.045,0.0,0.9984,0.0
2027-06-17,45.0,128.825,1.7671232876712328,169.84,0.045,0.0,0.9955,0.5726
2027-06-17,50.0,125.35,1.7671232876712328,169.84,0.045,0.0,0.992,0.5438
2027-06-17,55.0,119.80000000000001,1.7671232876712328,169.84,0.045,0.0,0.9879,0.4929
2027-06-17,60.0,114.975,1.7671232876712328,169.84,0.045,0.0,0.9832,0.0
2027-06-17,65.0,112.65,1.7671232876712328,169.84,0.045,0.0,0.9777,0.4878
2027-06-17,70.0,107.55000000000001,1.7671232876712328,169.84,0.045,0.0,0.9715,0.426
2027-06-17,75.0,102.92500000000001,1.7671232876712328,169.84,0.045,0.0,0.9644,0.4024
2027-06-17,80.0,100.1,1.7671232876712328,169.84,0.045,0.0,0.9564,0.4729
2027-06-17,85.0,94.775,1.7671232876712328,169.84,0.045,0.0,0.9474,0.4464
2027-06-17,90.0,91.325,1.7671232876712328,169.84,0.045,0.0,0.9374,0.4508
2027-06-17,95.0,87.0,1.7671232876712328,169.84,0.045,0.0,0.9264,0.4449
2027-06-17,100.0,84.675,1.7671232876712328,169.84,0.045,0.0,0.9143,0.439
2027-06-17,105.0,80.175,1.7671232876712328,169.84,0.045,0.0,0.9013,0.4344
2027-06-17,110.0,76.525,1.7671232876712328,169.84,0.045,0.0,0.8873,0.4302
2027-06-17,115.0,72.975,1.7671232876712328,169.84,0.045,0.0,0.8724,0.4256
2027-06-17,120.0,69.55000000000001,1.7671232876712328,169.84,0.045,0.0,0.8566,0.4227
2027-06-17,125.0,65.42500000000001,1.7671232876712328,169.84,0.045,0.0,0.84,0.419
2027-06-17,130.0,62.95,1.7671232876712328,169.84,0.045,0.0,0.8227,0.4149
2027-06-17,135.0,59.075,1.7671232876712328,169.84,0.045,0.0,0.8047,0.4117
2027-06-17,140.0,56.125,1.7671232876712328,169.84,0.045,0.0,0.7861,0.4089
2027-06-17,145.0,53.225,1.7671232876712328,169.84,0.045,0.0,0.7669,0.4068
2027-06-17,150.0,50.975,1.7671232876712328,169.84,0.045,0.0,0.7473,0.4044
2027-06-17,155.0,48.474999999999994,1.7671232876712328,169.84,0.045,0.0,0.7273,0.4012
2027-06-17,160.0,45.900000000000006,1.7671232876712328,169.84,0.045,0.0,0.707,0.3988
2027-06-17,165.0,43.400000000000006,1.7671232876712328,169.84,0.045,0.0,0.6864,0.3967
2027-06-17,170.0,40.825,1.7671232876712328,169.84,0.045,0.0,0.6657,0.3955
2027-06-17,175.0,38.900000000000006,1.7671232876712328,169.84,0.045,0.0,0.645,0.3934
2027-06-17,180.0,36.8,1.7671232876712328,169.84,0.045,0.0,0.6243,0.3918
2027-06-17,185.0,34.5,1.7671232876712328,169.84,0.045,0.0,0.6036,0.3899
2027-06-17,190.0,32.6,1.7671232876712328,169.84,0.045,0.0,0.5831,0.389
2027-06-17,195.0,30.775,1.7671232876712328,169.84,0.045,0.0,0.5629,0.3879
2027-06-17,200.0,29.325,1.7671232876712328,169.84,0.045,0.0,0.5429,0.3867
2027-06-17,210.0,26.175,1.7671232876712328,169.84,0.045,0.0,0.504,0.3847
2027-06-17,220.0,23.35,1.7671232876712328,169.84,0.045,0.0,0.4666,0.3832
2027-06-17,230.0,20.825,1.7671232876712328,169.84,0.045,0.0,0.4312,0.3822
2027-06-17,240.0,18.549999999999997,1.7671232876712328,169.84,0.045,0.0,0.3977,0.3811
2027-06-17,250.0,16.35,1.7671232876712328,169.84,0.045,0.0,0.3664,0.3803
2027-06-17,260.0,14.8,1.7671232876712328,169.84,0.045,0.0,0.3371,0.3797
2027-06-17,270.0,13.2,1.7671232876712328,169.84,0.045,0.0,0.31,0.3793
2027-06-17,280.0,11.649999999999999,1.7671232876712328,169.84,0.045,0.0,0.285,0.3789
2027-06-17,290.0,10.8,1.7671232876712328,169.84,0.045,0.0,0.2619,0.3793
2027-06-17,300.0,9.5,1.7671232876712328,169.84,0.045,0.0,0.2407,0.379
2027-06-17,310.0,8.6,1.7671232876712328,169.84,0.045,0.0,0.2214,0.3797
2027-06-17,320.0,7.75,1.7671232876712328,169.84,0.045,0.0,0.2036,0.3802
2027-06-17,330.0,7.0,1.7671232876712328,169.84,0.045,0.0,0.1874,0.3803
2027-06-17,340.0,6.325,1.7671232876712328,169.84,0.045,0.0,0.1725,0.381
2027-06-17,350.0,5.725,1.7671232876712328,169.84,0.045,0.0,0.1591,0.3818
2027-06-17,360.0,5.225,1.7671232876712328,169.84,0.045,0.0,0.1467,0.3829
